Player,Team,Pos,Injury,Status
Ogbo Okoronkwo,17,LB,Triceps,IR
Sam Okuayinonu,30,DE,Ankle,Questionable
Jeff Okudah,21,CB,Concussion,IR
Oluwafemi Oladejo,9,LB,Leg,IR
Jordan Oladokun,14,CB,Undisclosed,IR
Bryce Oliver,9,WR,Knee,IR
Collin Oliver,24,DE,Hamstring,PUP-R
Ed Oliver,3,DT,Biceps,IR
Levi Onwuzurike,22,DT,Knee - ACL,PUP-R
Anfernee Orji,9,LB,Knee - ACL,IR
Justin Osborne,7,C,Undisclosed,IR
Wande Owens,3,S,Undisclosed,IR
Jeremiah Owusu-Koramoah,7,LB,Neck,PUP-R
Trey Palmer,27,WR,Ankle,IR
Donald Parham,6,TE,Achilles,IR
Josh Paschal,22,DE,Back,NFI-R
Matt Peart,13,OG,Knee,IR
Michael Penix,26,QB,Knee - ACL,IR
Clark Phillips,26,CB,Triceps,IR
Jacob Phillips,12,LB,Biceps,IR
George Pickens,19,WR,Knee,Questionable
Michael Pierce,8,DT,Undisclosed,Reserve-Ret
Eddy Pineiro,30,K,Hamstring,Questionable
Jalen Pitre,10,CB,Concussion,Questionable
Mason Pline,27,TE,Upper Body,IR
Ja'Lynn Polk,27,WR,Shoulder,IR
Joey Porter,6,CB,Hip,Questionable
Ben Powers,13,OG,Biceps,IR
Jackson Powers-Johnson,15,OG,Ankle,IR
Deneric Prince,4,RB,Undisclosed,IR
David Quessenberry,32,OT,Groin,Questionable
Frank Ragnow,22,C,Undisclosed,Reserve-Ret
Ennis Rakestraw,22,CB,Shoulder,IR
Ryan Ramczyk,27,OT,Undisclosed,Reserve-Ret
Caleb Ransaw,11,S,Lower Body,IR
Taylor Rapp,3,S,Knee,IR
Tate Ratledge,22,OG,Knee,Questionable
Kalif Raymond,22,WR,Ankle,Questionable
Haason Reddick,28,LB,Ankle,Questionable
Jarran Reed,29,DT,Thumb,IR
Jayden Reed,24,WR,Foot,IR-R
Karene Reid,13,LB,Hamstring,IR
Winston Reid,7,LB,Back,IR-R
Tip Reiman,31,TE,Ankle,IR
Josh Reynolds,2,WR,Hip,IR
Anthony Richardson,12,QB,Orbital,IR
Calvin Ridley,9,WR,Lower Leg,IR
J.J. Roberts,28,S,Knee,IR
Sam Roberts,26,DT,Knee,IR
Kye Robichaux,22,RB,Undisclosed,IR
Dominique Robinson,23,DE,Concussion,Questionable
Jakob Robinson,30,CB,Forearm,IR
Janarius Robinson,16,DE,Foot,IR
Tavius Robinson,8,LB,Foot,IR
Aaron Rodgers,6,QB,Wrist,Questionable
Eric Rogers,14,CB,Undisclosed,IR
Christian Roland-Wallace,16,CB,Back,Questionable
Kurtis Rourke,30,QB,Knee,NFI-R
Jaquelin Roy,4,DT,Undisclosed,IR
Christian Rozeboom,25,LB,Hip,Questionable
J.J. Russell,31,LB,Concussion,IR
Nick Saldiveri,27,OG,Knee,IR
Cameron Sample,5,DE,Oblique,Questionable
Curtis Samuel,3,WR,Elbow,Questionable
Jack Sanborn,19,LB,Groin,IR
Drew Sanders,13,LB,Foot,IR-R
Jason Sanders,1,K,Hip,IR-R
Miles Sanders,19,RB,Knee,IR
Eric Saubert,29,TE,Calf,IR
Jacob Saylors,22,RB,Back,Questionable
Max Scharping,6,OG,Knee,IR
Brenden Schooler,4,S,Ankle,Questionable
Wes Schweitzer,4,C,Undisclosed,Reserve-Ret
Daniel Scott,12,S,Knee,IR
Eric Scott,16,CB,Undisclosed,IR
Valentin Senn,31,OT,Undisclosed,IR
Noah Sewell,23,LB,Elbow,Questionable
Penei Sewell,22,OT,Ankle,Questionable
Spencer Shrader,12,K,Knee - ACL + MCL,IR
Alex Singleton,13,LB,Illness,Questionable
Ben Sinnott,18,TE,Ankle,Questionable
Cam Skattebo,20,RB,Ankle,IR
Jacob Slade,6,DT,Undisclosed,IR
Rashawn Slater,14,OT,Kneecap,IR
Elerson Smith,7,DE,Undisclosed,Reserve-Ret
Jaden Smith,28,WR,Undisclosed,IR
Jaylin Smith,10,CB,Undisclosed,IR
Terell Smith,23,CB,Knee,IR
Trey Smith,16,OG,Ankle,Doubtful
Xavier Smith,32,WR,Concussion,Questionable
Za'Darius Smith,17,DE,Undisclosed,Reserve-Ret
L'Jarius Sneed,9,CB,Quadriceps,IR
Colby Sorsdal,22,OT,Leg,IR
Tyrique Stevenson,23,CB,Hip,Questionable
M.J. Stewart,10,S,Quadriceps,IR
Shemar Stewart,5,DE,Knee,IR
Dorian Strong,3,CB,Neck,IR
C.J. Stroud,10,QB,Concussion,Questionable
Jalen Sundell,29,C,Knee,IR
Chazz Surratt,29,LB,Ankle,Doubtful
Patrick Surtain,13,CB,Pectoral,Questionable
Jahlani Tavai,4,LB,Personal,Questionable
Darrell Taylor,10,DE,Ankle,IR
Patrick Taylor,30,RB,Shoulder,IR
Trent Taylor,30,WR,Undisclosed,IR
Cam Taylor-Britt,5,CB,Foot,IR
Dadrion Taylor-Demerson,31,S,Ankle,Questionable
Isaac TeSlaa,22,WR,Hand,Questionable
Kayvon Thibodeaux,20,LB,Shoulder,Questionable
Brian Thomas,11,WR,Ankle,Questionable
Juanyeh Thomas,19,S,Migraine,NFI-R
Keir Thomas,32,LB,Undisclosed,IR
Starling Thomas,31,CB,Knee - ACL,IR
Skylar Thompson,6,QB,Hamstring,IR
Corey Thornton,25,CB,Lower Leg,Out
Jamari Thrash,7,WR,Foot,Questionable
Zach Tom,24,OT,Back,Questionable
Tre Tomlinson,30,CB,Undisclosed,IR
Khyiris Tonga,4,DT,Chest,Questionable
Jordan Travis,2,QB,Lower Leg,Reserve-Ret
