Player,Team,Pos,Injury,Status,Est. Return
Michael Hall,CLE,DT,Neck,Reserve-CEL,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
Malik Hamm,BAL,LB,Knee - ACL,IR,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Harrison Hand,ATL,CB,Knee,IR,Subscribers Only
Matt Hankins,FA,CB,Undisclosed,Questionable,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Myles Harden,CLE,CB,Shin,IR-R,Subscribers Only
Javon Hargrave,SF,DT,Triceps,Out,Subscribers Only
Sean Harlow,FA,OG,Undisclosed,Questionable,Subscribers Only
Christian Harris,HOU,LB,Calf,IR-R,Subscribers Only
Clark Harris,FA,C,Biceps,Questionable,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Jacob Harris,PHI,WR,Concussion,IR,Subscribers Only
Keilahn Harris,FA,WR,Undisclosed,Questionable,Subscribers Only
Najee Harris,PIT,RB,Arm,Questionable,Subscribers Only
Tre'Shaun Harrison,FA,WR,Ankle,Questionable,Subscribers Only
Penny Hart,FA,WR,Concussion,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Broughton Hatcher,FA,C,Undisclosed,Questionable,Subscribers Only
Hayden Hatten,FA,WR,Suspension,Reserve-Sus,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Tayler Hawkins,FA,S,Undisclosed,Questionable,Subscribers Only
Jaaron Hayek,KC,WR,Shoulder,IR,Subscribers Only
Daelin Hayes,FA,LB,Undisclosed,Questionable,Subscribers Only
Ryan Hayes,FA,OT,Foot,Questionable,Subscribers Only
Marquis Haynes,FA,LB,Undisclosed,Questionable,Subscribers Only
Sincere Haynesworth,FA,C,Knee,Questionable,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
DeMarcco Hellams,ATL,S,Ankle,IR-R,Subscribers Only
LaDarius Henderson,HOU,OG,Foot,NFI-R,Subscribers Only
Xavier Henderson,FA,S,Undisclosed,Questionable,Subscribers Only
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable,Subscribers Only
Justin Herbert,LAC,QB,Ankle,Questionable,Subscribers Only
Nate Herbig,PIT,OG,Shoulder,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Justin Herron,NO,OT,Knee,IR,Subscribers Only
Tyler Higbee,LAR,TE,Knee - ACL + MCL,PUP-R,Subscribers Only
Alex Highsmith,PIT,LB,Groin,Out,Subscribers Only
B.J. Hill,CIN,DT,Hamstring,Questionable,Subscribers Only
Brandon Hill,HOU,S,Leg,IR,Subscribers Only
Taysom Hill,NO,TE,Chest,Questionable,Subscribers Only
Dontrell Hilliard,FA,RB,Neck,Questionable,Subscribers Only
Nyheim Hines,CLE,RB,Knee - ACL,NFI-R,Subscribers Only
Kurt Hinish,HOU,DT,Undisclosed,IR-R,Subscribers Only
T.J. Hockenson,MIN,TE,Knee - ACL + MCL,PUP-R,Subscribers Only
Curtis Hodges,FA,TE,Undisclosed,Questionable,Subscribers Only
George Holani,FA,RB,Ankle,Out,Subscribers Only
Cole Holcomb,PIT,LB,Knee,PUP-R,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Cody Hollister,FA,WR,Neck,Questionable,Subscribers Only
Travis Homer,CHI,RB,Finger,IR,Subscribers Only
Timmy Horne,NYG,DT,Achilles,IR,Subscribers Only
Dylan Horton,HOU,DE,Illness,NFI-R,Subscribers Only
Dennis Houston,FA,WR,Undisclosed,Questionable,Subscribers Only
Jarveon Howard,FA,RB,Undisclosed,Questionable,Subscribers Only
Hayden Howerton,FA,OG,Undisclosed,Questionable,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
James Hudson,CLE,OT,Shoulder,Questionable,Subscribers Only
Rodney Hudson,FA,C,Knee,Questionable,Subscribers Only
Tanner Hudson,CIN,TE,Knee,Questionable,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
D.J. Humphries,FA,OT,Knee - ACL,Questionable,Subscribers Only
Jontrey Hunter,FA,LB,Undisclosed,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,CLE,DT,Ankle,IR,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Matt Ioannidis,FA,DT,Back,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
DJ Ivey,CIN,CB,Knee - ACL,PUP-R,Subscribers Only
Adoree' Jackson,NYG,CB,Calf,Questionable,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
D'Marco Jackson,NO,LB,Calf,Questionable,Subscribers Only
Dane Jackson,CAR,CB,Hamstring,IR-R,Subscribers Only
Drake Jackson,SF,DE,Knee,PUP-R,Subscribers Only
JaQuae Jackson,NE,WR,Knee,IR,Subscribers Only
Jermaine Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
Jonah Jackson,LAR,OG,Shoulder,IR,Subscribers Only
Lamar Jackson,FA,CB,Undisclosed,Questionable,Subscribers Only
McKinnley Jackson,CIN,DT,Knee,IR,Subscribers Only
Tyree Jackson,FA,TE,Undisclosed,Questionable,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
Craig James,FA,CB,Undisclosed,Questionable,Subscribers Only
Derwin James,LAC,S,Suspension,Reserve-Sus,Subscribers Only
Ja'Wuan James,FA,OT,Achilles,Questionable,Subscribers Only
Jaxon Janke,FA,WR,Undisclosed,Questionable,Subscribers Only
Rakim Jarrett,TB,WR,Undisclosed,IR-R,Subscribers Only
Trajan Jeffcoat,FA,DE,Elbow,Questionable,Subscribers Only
Malik Jefferson,FA,LB,Undisclosed,Questionable,Subscribers Only
Van Jefferson,PIT,WR,Eye,Questionable,Subscribers Only
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,Subscribers Only
Deion Jennings,BAL,LB,Undisclosed,IR,Subscribers Only
Nash Jensen,FA,OG,Undisclosed,Questionable,Subscribers Only
Jake Johanning,LV,OG,Undisclosed,IR,Subscribers Only
Alexander Johnson,FA,LB,Undisclosed,Questionable,Subscribers Only
Bisi Johnson,FA,WR,Knee - ACL,Questionable,Subscribers Only
Durrell Johnson,DAL,DE,Undisclosed,IR,Subscribers Only
Dyontae Johnson,NYG,LB,Ankle,IR,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jermaine Johnson,NYJ,DE,Achilles,IR,Subscribers Only
John Johnson,LAR,S,Shoulder,IR,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Kameron Johnson,TB,WR,Ankle,Questionable,Subscribers Only
Lane Johnson,PHI,OT,Concussion,Questionable,Subscribers Only
Lonnie Johnson,CAR,S,Groin,Questionable,Subscribers Only
Roderick Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Taron Johnson,BUF,CB,Forearm,Out,Subscribers Only
