Player,Team,Pos,Injury,Status,Est. Return
Kearis Jackson,TEN,WR,Ankle,IR,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
Ja'Wuan James,FA,OT,Achilles,Questionable,Subscribers Only
Richie James,KC,WR,Knee - MCL,IR,Subscribers Only
Justin Jefferson,MIN,WR,Hamstring,IR,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Elgton Jenkins,GB,OG,Knee,Questionable,Subscribers Only
Jaray Jenkins,FA,WR,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Bisi Johnson,FA,WR,Knee - ACL,Questionable,Subscribers Only
Brandon Johnson,DEN,WR,Hamstring,Questionable,Subscribers Only
Diontae Johnson,PIT,WR,Hamstring,Questionable,Subscribers Only
Dontae Johnson,FA,CB,Knee - ACL,Questionable,Subscribers Only
Eric Johnson,IND,DT,Ankle,Questionable,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Juwan Johnson,NO,TE,Calf,Questionable,Subscribers Only
Nazeeh Johnson,KC,S,Knee - ACL,IR,Subscribers Only
Roderick Johnson,PHI,OT,Undisclosed,IR,Subscribers Only
Willie Johnson,FA,WR,Undisclosed,Questionable,Subscribers Only
Aaron Jones,GB,RB,Hamstring,Questionable,Subscribers Only
Ben Jones,FA,C,Undisclosed,Questionable,Subscribers Only
Benito Jones,DET,DT,Ankle,Questionable,Subscribers Only
Braxton Jones,CHI,OT,Neck,IR-R,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,FA,CB,Achilles,Questionable,Subscribers Only
Chandler Jones,FA,DE,Personal,Questionable,Subscribers Only
Charlie Jones,CIN,WR,Thumb,IR,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Daniel Jones,NYG,QB,Neck,Out,Subscribers Only
DaQuan Jones,BUF,DT,Pectoral,IR,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Ernest Jones,LAR,LB,Knee,Questionable,Subscribers Only
Jonathan Jones,NE,CB,Knee,Questionable,Subscribers Only
Josh Jones,FA,S,Hamstring,Questionable,Subscribers Only
Marcus Jones,NE,CB,Shoulder,IR,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Zay Jones,JAX,WR,Knee,Questionable,Subscribers Only
Brevin Jordan,HOU,TE,Foot,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,FA,S,Ankle,Questionable,Subscribers Only
Lamarcus Joyner,FA,S,Hip,Questionable,Subscribers Only
Matthew Judon,NE,LB,Biceps,IR,Subscribers Only
Gregory Junior,JAX,CB,Hamstring,IR-R,Subscribers Only
Cam Jurgens,PHI,OG,Foot,IR,Subscribers Only
Khalid Kareem,CHI,DE,Hip,IR-R,Subscribers Only
Matt Kaskey,FA,OT,Undisclosed,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,FA,LB,Leg,Questionable,Subscribers Only
Zonovan Knight,DET,RB,Shoulder,IR,Subscribers Only
Malik Knowles,MIN,WR,Undisclosed,NFI-R,Subscribers Only
Dawson Knox,BUF,TE,Wrist,IR,Subscribers Only
Kader Kohou,MIA,CB,Neck,Questionable,Subscribers Only
Jake Kumerow,FA,WR,Back,Questionable,Subscribers Only
Jordan Kunaszyk,CLE,LB,Knee - MCL,IR,Subscribers Only
