Player,Team,Pos,Injury,Status
Allen Hurns,FA,WR,Wrist,Questionable
James Hurst,NO,OT,Ankle,Questionable
John Hurst,FA,WR,Ankle,Questionable
Jalen Hurts,PHI,QB,Knee,Questionable
Ishmael Hyman,FA,WR,Undisclosed,Questionable
Mohamed Ibrahim,FA,RB,Hip,Out
George Iloka,FA,S,Knee - ACL,Questionable
Mark Ingram,FA,RB,Knee - MCL,Questionable
Matt Ioannidis,FA,DT,Back,Questionable
Isaiah Irving,FA,LB,Back,Questionable
Thomas Ives,FA,WR,Undisclosed,Questionable
Myles Jack,PHI,LB,Personal,Reserve-Ret
Adoree' Jackson,NYG,CB,Neck,Questionable
Branden Jackson,FA,DE,Spine,Questionable
Eddie Jackson,CHI,S,Foot,Questionable
Jonah Jackson,DET,OG,Ankle,Questionable
Kareem Jackson,DEN,S,Suspension,Reserve-Sus
Kearis Jackson,TEN,WR,Ankle,IR
Warren Jackson,FA,WR,Undisclosed,Questionable
Jerry Jacobs,DET,CB,Knee,Questionable
Ja'Wuan James,FA,OT,Achilles,Questionable
Richie James,KC,WR,Knee - MCL,IR
Justin Jefferson,MIN,WR,Hamstring,IR
Jalen Jelks,FA,DE,Undisclosed,Questionable
Jaray Jenkins,FA,WR,Undisclosed,Questionable
Jordan Jenkins,FA,DE,Knee - ACL,Questionable
Ryan Jensen,TB,C,Knee,IR
Bisi Johnson,FA,WR,Knee - ACL,Questionable
Dontae Johnson,FA,CB,Knee - ACL,Questionable
Eric Johnson,IND,DT,Ankle,Questionable
Jahmir Johnson,FA,OT,Undisclosed,Questionable
Josh Johnson,FA,RB,Undisclosed,Questionable
Juwan Johnson,NO,TE,Calf,Questionable
Nazeeh Johnson,KC,S,Knee - ACL,IR
Roderick Johnson,PHI,OT,Undisclosed,IR
Roschon Johnson,CHI,RB,Concussion,Questionable
Willie Johnson,FA,WR,Undisclosed,Questionable
Ben Jones,FA,C,Undisclosed,Questionable
Braxton Jones,CHI,OT,Neck,IR-R
Brett Jones,FA,C,Biceps,Questionable
Byron Jones,FA,CB,Achilles,Questionable
Chandler Jones,FA,DE,Personal,Questionable
Charlie Jones,CIN,WR,Thumb,IR
Chris Jones,FA,P,Abdomen,Questionable
Daniel Jones,NYG,QB,Neck,Questionable
DaQuan Jones,BUF,DT,Pectoral,IR
Devin Jones,FA,CB,Undisclosed,Questionable
Josh Jones,FA,S,Hamstring,Questionable
Marcus Jones,NE,CB,Shoulder,IR
Xavier Jones,FA,RB,Achilles,Questionable
Zay Jones,JAX,WR,Knee,Questionable
Dion Jordan,FA,DE,Knee,Questionable
Karl Joseph,FA,S,Ankle,Questionable
Lamarcus Joyner,FA,S,Hip,Questionable
Matthew Judon,NE,LB,Biceps,IR
Gregory Junior,JAX,CB,Hamstring,IR-R
Cam Jurgens,PHI,OG,Foot,IR
Khalid Kareem,CHI,DE,Hip,IR-R
Matt Kaskey,FA,OT,Undisclosed,Questionable
Silas Kelly,FA,LB,Undisclosed,Questionable
Tom Kennedy,FA,WR,Arm,Questionable
Brandon King,FA,LB,Hamstring,Questionable
Dre Kirkpatrick,FA,CB,Ankle,Questionable
Micah Kiser,FA,LB,Leg,Questionable
Zonovan Knight,DET,RB,Shoulder,IR
Malik Knowles,MIN,WR,Undisclosed,NFI-R
Dawson Knox,BUF,TE,Wrist,Out
Jake Kumerow,FA,WR,Back,Questionable
Jordan Kunaszyk,CLE,LB,Knee - MCL,IR
William Kwenkeu,MIN,LB,Undisclosed,IR
Bruno Labelle,FA,TE,Undisclosed,Questionable
Chris Lacy,FA,WR,Undisclosed,Questionable
Dayan Lake,FA,CB,Undisclosed,Questionable
Forrest Lamp,FA,OG,Undisclosed,Questionable
Jarvis Landry,FA,WR,Ankle,Questionable
Ted Larsen,FA,OG,Knee,Questionable
Scott Lashley,FA,OT,Undisclosed,Questionable
Cameron Latu,SF,TE,Knee - Meniscus,IR
Raheem Layne,LAC,S,Knee,IR
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable
Darron Lee,FA,LB,Undisclosed,Questionable
Shane Lemieux,NYG,OG,Biceps,IR
Matt Leo,PHI,DE,Undisclosed,Reserve-Ret
Titus Leo,IND,DE,Undisclosed,IR
Deane Leonard,LAC,CB,Hamstring,Questionable
Jason Lewan,FA,DE,Back,Questionable
Taylor Lewan,FA,OT,Knee - ACL,Questionable
Donnie Lewis,FA,CB,Undisclosed,Questionable
Tommylee Lewis,FA,WR,Hip,Questionable
Corey Linsley,LAC,C,Illness,NFI-R
Greg Little,FA,OT,Back,Questionable
Walker Little,JAX,OG,Knee,Questionable
David Long,MIA,LB,Head,Questionable
Greg Long,FA,OT,Undisclosed,Questionable
Hunter Long,LAR,TE,Thigh,IR
Bryce Love,FA,RB,Knee,Questionable
John Lovett,FA,FB,Undisclosed,Questionable
Vederian Lowe,NE,OT,Ankle,Questionable
Abraham Lucas,SEA,OT,Knee,IR
Darrell Luter,SF,CB,Knee,PUP-R
Frankie Luvu,CAR,LB,Hip,Questionable
James Lynch,MIN,DT,Knee - ACL,IR
Alize Mack,FA,TE,Undisclosed,Questionable
Ledarius Mack,FA,LB,Undisclosed,Questionable
Marlon Mack,ARI,RB,Achilles,IR
Avonte Maddox,PHI,CB,Pectoral,IR
Cole Madison,FA,OG,Knee - ACL,Questionable
Cassius Marsh,FA,LB,Knee,Questionable
Kamal Martin,FA,LB,Undisclosed,Questionable
Koda Martin,FA,OG,Undisclosed,Questionable
Marcus Martin,FA,C,Undisclosed,Questionable
Wes Martin,FA,OG,Concussion,Questionable
Phidarian Mathis,WAS,DT,Calf,IR-R
Jesse Matthews,HOU,WR,Knee - ACL,IR
Devonnsha Maxwell,CIN,DT,Knee,IR
Baker Mayfield,TB,QB,Knee,Questionable
Mac McCain,FA,CB,Undisclosed,Questionable
Tucker McCann,FA,K,Undisclosed,Questionable
Codey McElroy,FA,TE,Foot,Questionable
Anthony McFarland,PIT,RB,Knee,IR-R
Kenny McIntosh,SEA,RB,Knee,IR
Anthony McKinney,FA,OT,Undisclosed,Questionable
J.D. McKissic,FA,RB,Neck,Questionable
Sherrick McManis,FA,S,Hamstring,Questionable
Kyler McMichael,ARI,CB,Undisclosed,IR
Raekwon McMillan,NE,LB,Achilles,IR
Zech McPhearson,PHI,CB,Achilles,IR
Tony McRae,FA,CB,Knee,Questionable
Montrel Meander,FA,LB,Achilles,Questionable
Steven Means,FA,LB,Achilles,Questionable
Obi Melifonwu,FA,S,Undisclosed,Questionable
Nicolas Melsop,FA,OG,Undisclosed,Questionable
Forrest Merrill,FA,DT,Undisclosed,Questionable
Kaevon Merriweather,TB,S,Ankle,Questionable
DK Metcalf,SEA,WR,Ribs,Questionable
Sony Michel,LAR,RB,Undisclosed,Reserve-Ret
Matt Milano,BUF,LB,Leg,IR
Ventrell Miller,JAX,LB,Achilles,IR
Dax Milne,WAS,WR,Groin,IR
Keaton Mitchell,BAL,RB,Hamstring,Questionable
Osirus Mitchell,FA,WR,Quadriceps,Questionable
Taquan Mizzell,FA,WR,Undisclosed,Questionable
Jovante Moffatt,FA,S,Undisclosed,Questionable
Elijah Molden,TEN,S,Hamstring,Questionable
Donte Moncrief,FA,WR,Undisclosed,Questionable
Bryan Mone,SEA,DT,Knee - ACL,PUP-R
David Montgomery,DET,RB,Ribs,Questionable
C.J. Moore,FA,S,Suspension,Reserve-Sus
Chris Moore,TEN,WR,Concussion,Questionable
J'Mon Moore,FA,WR,Undisclosed,Questionable
Jalin Moore,FA,RB,Ankle,Reserve-Ret
Jaylon Moore,JAX,WR,Undisclosed,IR
Nick Moore,BAL,C,Achilles,NFI-R
Mike Morris,SEA,DE,Shoulder,IR
Quintin Morris,BUF,TE,Ankle,Out
Emmanuel Moseley,DET,CB,Knee - ACL,IR
Jordan Mosley,FA,S,Undisclosed,Questionable
T.D. Moultry,FA,LB,Undisclosed,Questionable
Trayvon Mullen,BAL,CB,Toe,NFI-R
Nick Mullens,MIN,QB,Back,IR
Larrell Murchison,LAR,DT,Knee,Questionable
Kyle Murphy,FA,OG,Ankle,Questionable
Chris Murray,FA,C,Undisclosed,Questionable
Eric Murray,HOU,S,Knee,IR
Kyler Murray,ARI,QB,Knee - ACL,PUP-R
Luke Musgrave,GB,TE,Ankle,Questionable
Chris Myarick,NYG,FB,Hand,IR
Jalen Nailor,MIN,WR,Hamstring,IR-R
Ryan Nall,FA,FB,Shoulder,Questionable
Hamsah Nasirildeen,FA,LB,Neck,Questionable
Isaac Nauta,FA,TE,Undisclosed,Questionable
Haggai Ndubuisi,FA,OT,Finger,Out
Evan Neal,NYG,OT,Ankle,Questionable
