Player,Team,Pos,Injury,Status
Wande Owens,3,S,Undisclosed,IR
Jeremiah Owusu-Koramoah,7,LB,Neck,PUP-R
Joshua Palmer,3,WR,Ankle,Questionable
Trey Palmer,27,WR,Ankle,IR
Donald Parham,6,TE,Achilles,IR
Josh Paschal,22,DE,Undisclosed,NFI-R
Tim Patrick,11,WR,Groin,Questionable
Rico Payton,20,CB,Undisclosed,IR
Ricky Pearsall,30,WR,Knee - PCL,Questionable
Matt Peart,13,OG,Knee,IR
Michael Penix,26,QB,Lower Leg,Questionable
Clark Phillips,26,CB,Triceps,IR
Jacob Phillips,12,LB,Biceps,IR
Michael Pierce,8,DT,Undisclosed,Reserve-Ret
Trey Pipkins,14,OT,Knee,Questionable
Mason Pline,27,TE,Upper Body,IR
Isaiah Pola-Mao,15,S,Ankle,Questionable
Ja'Lynn Polk,27,WR,Shoulder,IR
Ben Powers,13,OG,Biceps,IR
Deneric Prince,4,RB,Undisclosed,IR
Brock Purdy,30,QB,Toe,Questionable
Frank Ragnow,22,C,Undisclosed,Reserve-Ret
Ennis Rakestraw,22,CB,Shoulder,IR
Ryan Ramczyk,27,OT,Undisclosed,Reserve-Ret
Caleb Ransaw,11,S,Lower Body,IR
Haason Reddick,28,LB,Knee,Questionable
D.J. Reed,22,CB,Hamstring,IR
Jayden Reed,24,WR,Collarbone,IR
Winston Reid,7,LB,Back,IR-R
Tip Reiman,31,TE,Ankle,IR
Shavon Revel,19,CB,Knee - ACL,NFI-R
Craig Reynolds,22,RB,Hamstring,Questionable
Patrick Ricard,8,FB,Calf,Questionable
Anthony Richardson,12,QB,Orbital,IR
John Ridgeway,27,DT,Shoulder,IR-R
Calvin Ridley,9,WR,Hamstring,Questionable
J.J. Roberts,28,S,Knee,IR
Kye Robichaux,22,RB,Undisclosed,IR
Jakob Robinson,30,CB,Forearm,IR
Janarius Robinson,16,DE,Foot,IR
Tavius Robinson,8,LB,Foot,Out
Malcolm Rodriguez,22,LB,Knee - ACL,PUP-R
Eric Rogers,14,CB,Undisclosed,IR
Kurtis Rourke,30,QB,Knee,NFI-R
Jaquelin Roy,4,DT,Undisclosed,IR
J.J. Russell,31,LB,Concussion,IR
Nick Saldiveri,27,OG,Knee,IR
Curtis Samuel,3,WR,Neck,Questionable
Deebo Samuel,18,WR,Heel,Questionable
Drew Sanders,13,LB,Foot,IR-R
Jason Sanders,1,K,Hip,IR-R
Miles Sanders,19,RB,Knee,IR
T.J. Sanders,3,DT,Knee,IR
Cairo Santos,23,K,Thigh,Questionable
Max Scharping,6,OG,Knee,IR
John Michael Schmitz,20,C,Concussion,Questionable
Wes Schweitzer,4,C,Undisclosed,Reserve-Ret
Daniel Scott,12,S,Knee,IR
Eric Scott,16,CB,Undisclosed,IR
Zavier Scott,21,RB,Wrist,Questionable
Valentin Senn,31,OT,Undisclosed,IR
Noah Sewell,23,LB,Concussion,Questionable
Spencer Shrader,12,K,Knee - ACL + MCL,IR
Jeffery Simmons,9,DT,Hamstring,Questionable
Josh Simmons,16,OT,Personal,Questionable
Jacob Slade,6,DT,Undisclosed,IR
Rashawn Slater,14,OT,Kneecap,IR
Darius Slayton,20,WR,Hamstring,Questionable
Elerson Smith,7,DE,Undisclosed,Reserve-Ret
Jaden Smith,28,WR,Undisclosed,IR
Jaylin Smith,10,CB,Hamstring,IR
Nolan Smith,17,LB,Triceps,IR
Roquan Smith,8,LB,Hamstring,Questionable
Terell Smith,23,CB,Knee,IR
Trey Smith,16,OG,Back,Questionable
Za'Darius Smith,17,DE,Undisclosed,Reserve-Ret
L'Jarius Sneed,9,CB,Quadriceps,Questionable
Colby Sorsdal,22,OT,Leg,IR
Ronnie Stanley,8,OT,Ankle,Questionable
John Stephens,19,TE,Undisclosed,IR
Tyrique Stevenson,23,CB,Shoulder,Questionable
Qwan'tez Stiggers,2,CB,Hip,Questionable
Upton Stout,30,CB,Ankle,Questionable
Cade Stover,10,TE,Foot,IR
Brenton Strange,11,TE,Quadriceps,IR
Dorian Strong,3,CB,Neck,IR
Jawaan Taylor,16,OT,Shoulder,Questionable
Patrick Taylor,30,RB,Shoulder,IR
Trent Taylor,30,WR,Undisclosed,IR
Brian Thomas,11,WR,Shoulder,Questionable
Daniel Thomas,22,S,Forearm,IR
Juanyeh Thomas,19,S,Migraine,Questionable
Keir Thomas,32,LB,Undisclosed,IR
Starling Thomas,31,CB,Knee - ACL,IR
Skylar Thompson,6,QB,Hamstring,IR
Cedric Tillman,7,WR,Hamstring,IR
Tre Tomlinson,30,CB,Undisclosed,IR
Jordan Travis,2,QB,Lower Leg,Reserve-Ret
Bralen Trice,26,LB,Knee,IR
Cory Trice,6,CB,Hamstring,IR-R
Jeremiah Trotter,17,LB,Ankle,Questionable
Jay Tufele,2,DT,Knee,Questionable
Ezekiel Turner,22,LB,Foot,IR
Payton Turner,19,DE,Ribs,IR-R
Sione Vaki,22,RB,Groin,Questionable
Andrew Van Ginkel,21,LB,Neck,Questionable
Lukas Van Ness,24,DE,Foot,Questionable
Ben VanSumeren,17,FB,Knee,IR
Alijah Vera-Tucker,2,OG,Triceps,IR
Malik Verdon,26,S,Undisclosed,NFI-R
Travis Vokolek,31,TE,Neck,IR
Cordell Volson,5,OG,Shoulder,IR
Dayton Wade,8,WR,Ribs,IR
David Walker,28,DE,Knee,IR
Devontez Walker,8,WR,Oblique,Questionable
Jalon Walker,26,LB,Groin,Questionable
Johnny Walker,13,LB,Undisclosed,IR
Darren Waller,1,TE,Pectoral,Questionable
Justin Walley,12,CB,Knee - ACL,IR
Garret Wallow,13,LB,Hamstring,IR
Charvarius Ward,12,CB,Concussion,IR
Jimmie Ward,10,S,Foot,PUP-R
Fred Warner,30,LB,Ankle,IR
Gareth Warren,6,OT,Concussion,IR
Ar'Darius Washington,8,S,Achilles,PUP-R
Broderick Washington,8,DT,Ankle,IR
Savion Washington,14,OT,Undisclosed,PUP-R
Christian Watson,24,WR,Knee - ACL,PUP-R
Deshaun Watson,7,QB,Achilles,PUP-R
Justin Watson,10,WR,Achilles,IR
Nathaniel Watson,7,LB,Biceps,IR
Carson Wentz,21,QB,Shoulder,Questionable
Barry Wesley,27,OT,Undisclosed,IR-R
Tyrone Wheatley,26,OT,Undisclosed,IR
Dontayvion Wicks,24,WR,Calf,Questionable
