Player,Team,Pos,Injury,Status
Johnny Walker,13,LB,Undisclosed,IR
Trevin Wallace,25,LB,Shoulder,Questionable
Justin Walley,12,CB,Knee - ACL,IR
Charvarius Ward,12,CB,Concussion,IR
Denzel Ward,7,CB,Calf,Questionable
Jimmie Ward,10,S,Foot,PUP-R
Fred Warner,30,LB,Ankle,IR
Broderick Washington,8,DT,Achilles,IR
Savion Washington,14,OT,Undisclosed,PUP-R
Deshaun Watson,7,QB,Achilles,PUP-R
Jaylen Watson,16,CB,Groin,Questionable
Justin Watson,10,WR,Calf,IR-R
Nathaniel Watson,7,LB,Biceps,IR
T.J. Watt,6,LB,Chest,Questionable
Luke Wattenberg,13,C,Shoulder,Questionable
Eric Watts,2,DE,Concussion,Questionable
Kristian Welch,24,LB,Ankle,Questionable
Carson Wentz,21,QB,Shoulder,IR
Tershawn Wharton,25,DT,Hamstring,Questionable
Tyrone Wheatley,26,OT,Undisclosed,IR
Josh Whyle,24,TE,Concussion,Questionable
Cameron Williams,17,OT,Shoulder,IR-R
Evan Williams,24,S,Knee - MCL,Questionable
Garrett Williams,31,CB,Achilles,IR
Javonte Williams,19,RB,Neck,Questionable
John Williams,24,OG,Back,PUP-R
Jonah Williams,31,OT,Shoulder,IR
Mike Williams,14,WR,Undisclosed,Reserve-Ex
Milton Williams,4,DT,Ankle,IR-R
Mykel Williams,30,DE,Knee - ACL,IR
Quinnen Williams,19,DT,Concussion,Questionable
Malik Willis,24,QB,Shoulder,Questionable
Donovan Wilson,19,S,Hip,Questionable
Eric Wilson,21,LB,Thumb,Questionable
Garrett Wilson,2,WR,Knee,IR
Jack Wilson,12,OT,Undisclosed,IR
Jared Wilson,4,OG,Concussion,Questionable
Johnny Wilson,17,WR,Knee,IR
Mack Wilson,31,LB,Ribs,IR
Marco Wilson,5,CB,Hamstring,IR
Kevin Winston,9,S,Hamstring,IR
Deatrich Wise,18,DE,Quadriceps,IR
Hunter Wohler,12,S,Foot,IR
Charles Woods,4,CB,Ankle,Questionable
Xavier Woods,9,S,Hamstring,IR
Riq Woolen,29,CB,Knee,Questionable
Brock Wright,22,TE,Neck,IR
Devonte Wyatt,24,DT,Ankle,IR
Landon Young,27,OT,Ankle,IR
Chandler Zavala,25,OG,Calf,IR
