season,gametypeid,week,day,date,awayteam,hometeam,network  ,time
2022,2,13,Sun,12/4/2022,Jets,Vikings,,1:00 PM
2022,2,13,Sun,12/4/2022,Commanders,Giants,,1:00 PM
2022,2,13,Sun,12/4/2022,Titans,Eagles,,1:00 PM
2022,2,13,Sun,12/4/2022,Broncos,Ravens,,1:00 PM
2022,2,13,Sun,12/4/2022,Seahawks,Rams,,4:05 PM
2022,2,13,Sun,12/4/2022,Dolphins,49ers,,4:05 PM
2022,2,13,Sun,12/4/2022,Chiefs,Bengals,,4:25 PM
2022,2,13,Sun,12/4/2022,Chargers,Raiders,,4:25 PM
2022,2,13,Sun,12/4/2022,Colts,Cowboys,,8:20 PM
2022,2,13,Mon,12/5/2022,Saints,Buccaneers,,8:15 PM
2022,2,14,Thu,12/8/2022,Raiders,Rams,,8:15 PM
2022,2,14,Sun,12/11/2022,Jets,Bills,,1:00 PM
2022,2,14,Sun,12/11/2022,Browns,Bengals,,1:00 PM
2022,2,14,Sun,12/11/2022,Texans,Cowboys,,1:00 PM
2022,2,14,Sun,12/11/2022,Vikings,Lions,,1:00 PM
2022,2,14,Sun,12/11/2022,Eagles,Giants,,1:00 PM
2022,2,14,Sun,12/11/2022,Jaguars,Titans,,1:00 PM
2022,2,14,Sun,12/11/2022,Ravens,Steelers,,1:00 PM
2022,2,14,Sun,12/11/2022,Dolphins,Chargers,,4:05 PM
2022,2,14,Sun,12/11/2022,Panthers,Seahawks,,4:25 PM
2022,2,14,Sun,12/11/2022,Buccaneers,49ers,,4:25 PM
2022,2,14,Sun,12/11/2022,Chiefs,Broncos,,8:20 PM
2022,2,14,Mon,12/12/2022,Patriots,Cardinals,,8:15 PM
2022,2,15,Thu,12/15/2022,49ers,Seahawks,,8:15 PM
2022,2,15,Sun,12/18/2022,Dolphins,Bills,,1:00 PM
2022,2,15,Sun,12/18/2022,Steelers,Panthers,,1:00 PM
2022,2,15,Sun,12/18/2022,Eagles,Bears,,1:00 PM
2022,2,15,Sun,12/18/2022,Ravens,Browns,,1:00 PM
2022,2,15,Sun,12/18/2022,Chiefs,Texans,,1:00 PM
2022,2,15,Sun,12/18/2022,Cowboys,Jaguars,,1:00 PM
2022,2,15,Sun,12/18/2022,Colts,Vikings,,1:00 PM
2022,2,15,Sun,12/18/2022,Falcons,Saints,,1:00 PM
2022,2,15,Sun,12/18/2022,Lions,Jets,,1:00 PM
2022,2,15,Sun,12/18/2022,Giants,Commanders,,1:00 PM
2022,2,15,Sun,12/18/2022,Cardinals,Broncos,,4:05 PM
2022,2,15,Sun,12/18/2022,Titans,Chargers,,4:25 PM
2022,2,15,Sun,12/18/2022,Bengals,Buccaneers,,4:25 PM
2022,2,15,Sun,12/18/2022,Patriots,Raiders,,8:20 PM
2022,2,15,Mon,12/19/2022,Rams,Packers,,8:15 PM
2022,2,16,Thu,12/22/2022,Jaguars,Jets,,8:15 PM
2022,2,16,Sat,12/24/2022,Lions,Panthers,,1:00 PM
2022,2,16,Sat,12/24/2022,Bills,Bears,,1:00 PM
2022,2,16,Sat,12/24/2022,Saints,Browns,,1:00 PM
2022,2,16,Sat,12/24/2022,Seahawks,Chiefs,,1:00 PM
2022,2,16,Sat,12/24/2022,Giants,Vikings,,1:00 PM
2022,2,16,Sat,12/24/2022,Bengals,Patriots,,1:00 PM
2022,2,16,Sat,12/24/2022,Texans,Titans,,1:00 PM
2022,2,16,Sat,12/24/2022,Falcons,Ravens,,1:00 PM
2022,2,16,Sat,12/24/2022,Commanders,49ers,,4:05 PM
2022,2,16,Sat,12/24/2022,Eagles,Cowboys,,4:25 PM
2022,2,16,Sat,12/24/2022,Raiders,Steelers,,8:15 PM
2022,2,16,Sun,12/25/2022,Packers,Dolphins,,1:00 PM
2022,2,16,Sun,12/25/2022,Broncos,Rams,,4:30 PM
2022,2,16,Sun,12/25/2022,Buccaneers,Cardinals,,8:20 PM
2022,2,16,Mon,12/26/2022,Chargers,Colts,,8:15 PM
2022,2,17,Thu,12/29/2022,Cowboys,Titans,,8:15 PM
2022,2,17,Sun,1/1/2023,Cardinals,Falcons,,1:00 PM
2022,2,17,Sun,1/1/2023,Bears,Lions,,1:00 PM
2022,2,17,Sun,1/1/2023,Jaguars,Texans,,1:00 PM
2022,2,17,Sun,1/1/2023,Broncos,Chiefs,,1:00 PM
2022,2,17,Sun,1/1/2023,Dolphins,Patriots,,1:00 PM
2022,2,17,Sun,1/1/2023,Colts,Giants,,1:00 PM
2022,2,17,Sun,1/1/2023,Saints,Eagles,,1:00 PM
2022,2,17,Sun,1/1/2023,Steelers,Ravens,,1:00 PM
2022,2,17,Sun,1/1/2023,Panthers,Buccaneers,,1:00 PM
2022,2,17,Sun,1/1/2023,Browns,Commanders,,1:00 PM
2022,2,17,Sun,1/1/2023,49ers,Raiders,,4:05 PM
2022,2,17,Sun,1/1/2023,Jets,Seahawks,,4:05 PM
2022,2,17,Sun,1/1/2023,Vikings,Packers,,4:25 PM
2022,2,17,Sun,1/1/2023,Rams,Chargers,,8:20 PM
2022,2,17,Mon,1/2/2023,Bills,Bengals,,8:30 PM
2022,2,18,Sun,1/8/2023,Buccaneers,Falcons,,1:00 PM
2022,2,18,Sun,1/8/2023,Patriots,Bills,,1:00 PM
2022,2,18,Sun,1/8/2023,Vikings,Bears,,1:00 PM
2022,2,18,Sun,1/8/2023,Ravens,Bengals,,1:00 PM
2022,2,18,Sun,1/8/2023,Texans,Colts,,1:00 PM
2022,2,18,Sun,1/8/2023,Chargers,Broncos,,1:00 PM
2022,2,18,Sun,1/8/2023,Lions,Packers,,1:00 PM
2022,2,18,Sun,1/8/2023,Titans,Jaguars,,1:00 PM
2022,2,18,Sun,1/8/2023,Jets,Dolphins,,1:00 PM
2022,2,18,Sun,1/8/2023,Panthers,Saints,,1:00 PM
2022,2,18,Sun,1/8/2023,Giants,Eagles,,1:00 PM
2022,2,18,Sun,1/8/2023,Browns,Steelers,,1:00 PM
2022,2,18,Sun,1/8/2023,Chiefs,Raiders,,1:00 PM
2022,2,18,Sun,1/8/2023,Rams,Seahawks,,1:00 PM
2022,2,18,Sun,1/8/2023,Cardinals,49ers,,1:00 PM
2022,2,18,Sun,1/8/2023,Cowboys,Commanders,,1:00 PM
2022,3,19,Sat,1/14/2023,AFC WildCard 2,AFC Card 1,CBS,4:30 PM
2022,3,19,Sat,1/14/2023,NFC WildCard 2,NFC Card 2,CBS,8:15 PM
2022,3,19,Sun,1/15/2023,AFC WildCard 4,AFC Card 3,CBS,1:00 PM
2022,3,19,Sun,1/15/2023,AFC WildCard 2,AFC Card 4,CBS,4:30 PM
2022,3,19,Sun,1/15/2023,NFC WildCard 2,NFC Card 5,NBC,8:15 PM
2022,3,19,Sun,1/16/2023,AFC WildCard 4,AFC Card 6,ESPN,8:00 PM
2022,3,20,Sun,1/22/2023,AFC Division C, Divis 1,CBS,2:00 PM
2022,3,20,Sun,1/22/2023,NFC Division C, Divis 2,CBS,4:00 PM
2022,3,20,Sun,1/22/2023,AFC Division 4,AFC Divis 3,CBS,6:00 PM
2022,3,20,Sun,1/22/2023,NFC Division 4,NFC Divis 4,CBS,9:00 PM
2022,3,21,Sun,1/29/2023,AFC Champ 2,AFC Champ 1,FOX,3:05 PM
2022,3,21,Sun,1/29/2023,NFC Champ 2,NFC Champ 2,CBS,6:40 PM
2021,3,22,Sun,2/12/2022,AFC Champ,NFC Champ,FOX,6:30 PM
