season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,14,12/8/2024,Seahawks,Cardinals,CBS,4:05 PM
2024,2,14,12/8/2024,Bills,Rams,FOX,4:25 PM
2024,2,14,12/8/2024,Bears,49ers,FOX,4:25 PM
2024,2,14,12/8/2024,Chargers,Chiefs,NBC,8:20 PM
2024,2,14,12/9/2024,Bengals,Cowboys,ABC,8:15 PM
2024,2,15,12/12/2024,Rams,49ers,Amazon,8:15 PM
2024,2,15,12/15/2024,Cowboys,Panthers,FOX,1:00 PM
2024,2,15,12/15/2024,Chiefs,Browns,CBS,1:00 PM
2024,2,15,12/15/2024,Dolphins,Texans,CBS,1:00 PM
2024,2,15,12/15/2024,Jets,Jaguars,FOX,1:00 PM
2024,2,15,12/15/2024,Commanders,Saints,FOX,1:00 PM
2024,2,15,12/15/2024,Ravens,Giants,CBS,1:00 PM
2024,2,15,12/15/2024,Bengals,Titans,FOX,1:00 PM
2024,2,15,12/15/2024,Patriots,Cardinals,CBS,4:25 PM
2024,2,15,12/15/2024,Colts,Broncos,CBS,4:25 PM
2024,2,15,12/15/2024,Bills,Lions,CBS,4:25 PM
2024,2,15,12/15/2024,Steelers,Eagles,FOX,4:25 PM
2024,2,15,12/15/2024,Buccaneers,Chargers,FOX,4:25 PM
2024,2,15,12/15/2024,Packers,Seahawks,NBC,8:20 PM
2024,2,15,12/16/2024,Bears,Vikings,ABC,8:00 PM
2024,2,15,12/16/2024,Falcons,Raiders,ESPN,8:30 PM
2024,2,16,12/19/2024,Browns,Bengals,Amazon,8:15 PM
2024,2,16,12/21/2024,Texans,Chiefs,NBC,1:00 PM
2024,2,16,12/21/2024,Steelers,Ravens,FOX,4:30 PM
2024,2,16,12/22/2024,Giants,Falcons,FOX,1:00 PM
2024,2,16,12/22/2024,Patriots,Bills,CBS,1:00 PM
2024,2,16,12/22/2024,Cardinals,Panthers,FOX,1:00 PM
2024,2,16,12/22/2024,Lions,Bears,FOX,1:00 PM
2024,2,16,12/22/2024,Titans,Colts,CBS,1:00 PM
2024,2,16,12/22/2024,Rams,Jets,CBS,1:00 PM
2024,2,16,12/22/2024,Eagles,Commanders,FOX,1:00 PM
2024,2,16,12/22/2024,Broncos,Chargers,FOX,4:05 PM
2024,2,16,12/22/2024,Vikings,Seahawks,FOX,4:05 PM
2024,2,16,12/22/2024,49ers,Dolphins,CBS,4:25 PM
