Player,Team,Pos,Injury,Status
JT Woods,14,S,Illness,NFI-R
Michael Woods,7,WR,Achilles,NFI-R
Robert Woods,10,WR,Foot,Questionable
Xavier Woods,25,S,Hamstring,Questionable
Daryl Worley,8,S,Shoulder,IR
Renell Wren,6,DT,Undisclosed,IR
Darnell Wright,23,OT,Shoulder,Questionable
Devonte Wyatt,24,DE,Knee,Questionable
Isaiah Wynn,1,OT,Quadriceps,IR
Russ Yeast,32,S,Hip,Questionable
Kenny Yeboah,2,TE,Hamstring,IR
Byron Young,32,LB,Knee,Questionable
Dareke Young,29,WR,Groin,IR
Landon Young,27,OT,Hip,Questionable
Kilian Zierer,10,OT,Ankle,IR
Jabari Zuniga,27,DE,Undisclosed,Reserve-Ret
Shane Zylstra,22,TE,Knee,IR
