Player,Team,Pos,Injury,Status
Kayvon Thibodeaux,20,LB,Shoulder,Questionable
Azareye'h Thomas,2,CB,Shoulder,IR
Ian Thomas,15,TE,Calf,Questionable
Juanyeh Thomas,19,S,Migraine,NFI-R
Keir Thomas,32,LB,Undisclosed,IR
Starling Thomas,31,CB,Knee - ACL,IR
Jalen Thompson,31,S,Hamstring,Questionable
Skylar Thompson,6,QB,Hamstring,IR
Corey Thornton,25,CB,Lower Leg,IR
Tyquan Thornton,16,WR,Head,Questionable
Zach Tom,24,OT,Knee,Questionable
Tre Tomlinson,30,CB,Undisclosed,IR
Jordan Travis,2,QB,Lower Leg,Reserve-Ret
Bralen Trice,26,LB,Knee,IR
Cory Trice,6,CB,Knee,IR
Laremy Tunsil,18,OT,Oblique,Questionable
Ezekiel Turner,22,LB,Foot,IR
Payton Turner,19,DE,Ribs,IR-R
Shemar Turner,23,DT,Knee - ACL,IR
Bhayshul Tuten,11,RB,Finger,Doubtful
Nick Vannett,32,TE,Oblique,Questionable
Ben VanSumeren,17,FB,Knee,IR
Devaughn Vele,27,WR,Shoulder,Questionable
Alijah Vera-Tucker,2,OG,Triceps,IR
Malik Verdon,26,S,Shoulder,NFI-R
Travis Vokolek,31,TE,Neck,IR
Cordell Volson,5,OG,Shoulder,IR
Dayton Wade,8,WR,Ribs,IR
David Walker,28,LB,Knee,IR
Johnny Walker,13,LB,Undisclosed,IR
Justin Walley,12,CB,Knee - ACL,IR
Charvarius Ward,12,CB,Concussion,IR
Denzel Ward,7,CB,Calf,Questionable
Jimmie Ward,10,S,Foot,PUP-R
Fred Warner,30,LB,Ankle,IR
Broderick Washington,8,DT,Achilles,IR
Savion Washington,14,OT,Undisclosed,PUP-R
Christian Watson,24,WR,Chest,Questionable
Deshaun Watson,7,QB,Achilles,PUP-R
Justin Watson,10,WR,Calf,IR-R
Nathaniel Watson,7,LB,Biceps,IR
T.J. Watt,6,LB,Chest,Questionable
Eric Watts,2,DE,Concussion,Questionable
Xavier Weaver,31,WR,Hamstring,Questionable
Carson Wentz,21,QB,Shoulder,IR
Tershawn Wharton,25,DT,Hamstring,Questionable
Tyrone Wheatley,26,OT,Undisclosed,IR
Cody White,29,WR,Abdomen,Questionable
Jordan Whittington,32,WR,Back,Questionable
Josh Whyle,24,TE,Concussion,Questionable
Cameron Williams,17,OT,Shoulder,IR-R
Evan Williams,24,S,Knee,Questionable
John Williams,24,OT,Back,PUP-R
Jonah Williams,31,OT,Shoulder,IR
Josh Williams,28,RB,Suspension,Reserve-Sus
Mike Williams,14,WR,Undisclosed,Reserve-Ex
Milton Williams,4,DT,Ankle,IR
Mykel Williams,30,DE,Knee - ACL,IR
Savion Williams,24,WR,Foot,Questionable
Garrett Wilson,2,WR,Knee,IR
Jack Wilson,12,OT,Undisclosed,IR
Johnny Wilson,17,WR,Knee,IR
Mack Wilson,31,LB,Ribs,IR
Marco Wilson,5,CB,Hamstring,IR
Kevin Winston,9,S,Hamstring,Questionable
Rashad Wisdom,28,S,Quadriceps,IR-R
Deatrich Wise,18,DE,Quadriceps,IR
Hunter Wohler,12,S,Foot,IR
Xavier Woods,9,S,Hamstring,Questionable
Brock Wright,22,TE,Neck,IR
Devonte Wyatt,24,DT,Ankle,IR
Colson Yankoff,18,TE,Ankle,Questionable
Dareke Young,29,WR,Quadriceps,IR-R
Landon Young,27,OT,Ankle,IR
Chandler Zavala,25,OG,Calf,IR
Kevin Zeitler,9,OG,Groin,Questionable
Zak Zinter,7,OG,Back,Questionable
