Player,Team,Pos,Injury,Status,Est. Return
J.T. Gray,FA,S,Hamstring,Questionable,Subscribers Only
Noah Gray,KC,TE,Concussion,Questionable,Subscribers Only
Vincent Gray,FA,CB,Groin,Questionable,Subscribers Only
Antoine Green,FA,WR,Concussion,Questionable,Subscribers Only
Art Green,NYG,CB,Hamstring,IR,Subscribers Only
Rasheem Green,FA,DE,Undisclosed,Questionable,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,MIN,LB,Shoulder,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Garret Greenfield,TB,OT,Undisclosed,Reserve-Ret,Subscribers Only
Ethan Greenidge,FA,OT,Undisclosed,Questionable,Subscribers Only
Antonio Grier,FA,LB,Undisclosed,Questionable,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Yetur Gross-Matos,SF,DE,Knee,IR,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Xavier Guillory,FA,WR,Collarbone,Questionable,Subscribers Only
Tyler Guyton,DAL,OT,Ankle,Doubtful,Subscribers Only
Maxwell Hairston,BUF,CB,Concussion,Questionable,Subscribers Only
Alex Hale,FA,K,Eye,Questionable,Subscribers Only
Grant Haley,FA,CB,Knee - ACL,Questionable,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
Kyonte Hamilton,HOU,DT,Ankle,IR,Subscribers Only
Damar Hamlin,BUF,S,Pectoral,IR,Subscribers Only
Omarion Hampton,LAC,RB,Ankle,IR-R,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Blake Hance,TEN,OG,Shoulder,IR,Subscribers Only
Deion Hankins,CHI,RB,Quadriceps,IR,Subscribers Only
Johnathan Hankins,SEA,DT,Back,NFI-R,Subscribers Only
Matt Hankins,FA,CB,Undisclosed,Questionable,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Justin Hardee,FA,CB,Undisclosed,Questionable,Subscribers Only
Mecole Hardman,BUF,WR,Calf,IR,Subscribers Only
Sean Harlow,FA,OG,Undisclosed,Questionable,Subscribers Only
Bruce Harmon,FA,CB,Knee,Questionable,Subscribers Only
Derrick Harmon,PIT,DT,Knee,Out,Subscribers Only
Clark Harris,FA,C,Biceps,Questionable,Subscribers Only
Darius Harris,FA,LB,Undisclosed,Out,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Keilahn Harris,FA,WR,Undisclosed,Questionable,Subscribers Only
Najee Harris,LAC,RB,Achilles,IR,Subscribers Only
Will Harris,WAS,S,Ankle,IR-R,Subscribers Only
Anton Harrison,JAX,OT,Knee,Questionable,Subscribers Only
Marvin Harrison,ARI,WR,Illness,Questionable,Subscribers Only
Zach Harrison,ATL,DE,Knee,IR,Subscribers Only
Bobby Hart,LAC,OT,Knee,Questionable,Subscribers Only
Penny Hart,FA,WR,Concussion,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Gus Hartwig,NYJ,C,Undisclosed,IR,Subscribers Only
Deonte Harty,FA,WR,Knee,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Hassan Haskins,LAC,RB,Hamstring,IR,Subscribers Only
Rob Havenstein,LAR,OT,Ankle,IR,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Tayler Hawkins,FA,S,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,FA,LB,Undisclosed,Questionable,Subscribers Only
Ryan Hayes,FA,OT,Undisclosed,Out,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Xavier Henderson,FA,S,Undisclosed,Questionable,Subscribers Only
Trey Hendrickson,CIN,DE,Hip,Out,Subscribers Only
