Player,Team,Pos,Injury,Status
J.D. McKissic,FA,RB,Neck,Questionable
J'Mon Moore,FA,WR,Undisclosed,Questionable
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable
Ja'Wuan James,FA,OT,Achilles,Questionable
Jack Anderson,FA,OG,Undisclosed,Out
Jacob Hollister,FA,TE,Undisclosed,Questionable
Jacob Tuioti-Mariner,FA,LB,Knee,Questionable
Jaeden Graham,FA,TE,Undisclosed,Questionable
Jahmir Johnson,FA,OT,Undisclosed,Questionable
Jake Hanson,FA,C,Shin,Questionable
Jake Kumerow,FA,WR,Back,Questionable
Jalen Dalton,FA,DT,Undisclosed,Questionable
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret
Jalen Jelks,FA,DE,Undisclosed,Questionable
Jalen Redmond,FA,DT,Undisclosed,Questionable
Jalin Moore,FA,RB,Ankle,Reserve-Ret
Jamal Carter,FA,S,Undisclosed,Questionable
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable
Jaquan Amos,FA,S,Undisclosed,Questionable
Jaray Jenkins,FA,WR,Undisclosed,Questionable
Jared Norris,FA,LB,Shoulder,Questionable
Jared Pinkney,FA,TE,Undisclosed,Questionable
Jarren Williams,FA,CB,Lower Body,Questionable
Jarvis Landry,FA,WR,Ankle,Questionable
Jason Lewan,FA,DE,Back,Questionable
Javin White,FA,LB,Knee - ACL,Questionable
Jayon Brown,FA,LB,Hand,Questionable
Jayson Stanley,FA,CB,Knee,Questionable
Jaytlin Askew,FA,CB,Quadriceps,Questionable
Jeff Cotton,FA,WR,Undisclosed,Questionable
Jequez Ezzard,FA,WR,Undisclosed,Questionable
Jerald Hawkins,FA,OT,Undisclosed,Questionable
Jeremy Sprinkle,FA,TE,Achilles,Questionable
Jerome Carvin,FA,C,Undisclosed,Questionable
Jimmy Moreland,FA,CB,Hand,Questionable
Joe Ostman,FA,DE,Undisclosed,Questionable
Joel Heath,FA,DE,Knee - ACL,Questionable
John Franklin,FA,WR,Knee - ACL,Questionable
John Hurst,FA,WR,Ankle,Questionable
John Lovett,FA,FB,Undisclosed,Questionable
John Penisini,FA,DT,Undisclosed,Questionable
John Ross,FA,WR,Undisclosed,Reserve-Ret
John Ursua,FA,WR,Knee - ACL,Questionable
Jon Bostic,FA,LB,Pectoral,Questionable
Jonah Tavai,FA,DT,Undisclosed,Questionable
Jonathan Hubbard,FA,OT,Undisclosed,Questionable
Jonathan Williams,FA,RB,Undisclosed,Questionable
Jordan Glasgow,FA,LB,Undisclosed,Questionable
Jordan Jenkins,FA,DE,Knee - ACL,Questionable
Jordan Mosley,FA,S,Undisclosed,Questionable
Jordan Perryman,FA,CB,Undisclosed,Questionable
Jordan Swann,FA,CB,Undisclosed,Questionable
Josh Drayden,FA,CB,Undisclosed,Questionable
Josh Johnson,FA,RB,Undisclosed,Questionable
Josh Jones,FA,S,Hamstring,Questionable
Josh Thompson,FA,S,Undisclosed,Questionable
Josh Wells,FA,OT,Hip,Questionable
Josiah Scott,FA,CB,Undisclosed,Out
Jovante Moffatt,FA,S,Undisclosed,Questionable
Justin Zimmer,FA,DT,Undisclosed,Questionable
Kamal Martin,FA,LB,Undisclosed,Questionable
Karl Joseph,FA,S,Ankle,Questionable
Keaton Sutherland,FA,OG,Abdomen,Questionable
Kedrick Whitehead,FA,S,Undisclosed,Questionable
